Date,Visitor/Neutral,PTS_visitor,Home/Neutral,PTS_home
,,,,
Tue Feb 1 2022,New Orleans Pelicans,111,Detroit Pistons,101
Tue Feb 1 2022,Washington Wizards,98,Milwaukee Bucks,112
Tue Feb 1 2022,Miami Heat,106,Toronto Raptors,110
Tue Feb 1 2022,Orlando Magic,115,Chicago Bulls,126
Tue Feb 1 2022,Denver Nuggets,115,Minnesota Timberwolves,130
Tue Feb 1 2022,Golden State Warriors,124,San Antonio Spurs,120
Tue Feb 1 2022,Brooklyn Nets,111,Phoenix Suns,121
Wed Feb 2 2022,Orlando Magic,119,Indiana Pacers,118
Wed Feb 2 2022,Washington Wizards,106,Philadelphia 76ers,103
Wed Feb 2 2022,Charlotte Hornets,107,Boston Celtics,113
Wed Feb 2 2022,Memphis Grizzlies,120,New York Knicks,108
Wed Feb 2 2022,Cleveland Cavaliers,104,Houston Rockets,115
Wed Feb 2 2022,Oklahoma City Thunder,120,Dallas Mavericks,114
Wed Feb 2 2022,Brooklyn Nets,101,Sacramento Kings,112
Wed Feb 2 2022,Denver Nuggets,104,Utah Jazz,108
Wed Feb 2 2022,Portland Trail Blazers,94,Los Angeles Lakers,99
Thu Feb 3 2022,Minnesota Timberwolves,128,Detroit Pistons,117
Thu Feb 3 2022,Miami Heat,112,San Antonio Spurs,95
Thu Feb 3 2022,Phoenix Suns,115,Atlanta Hawks,124
Thu Feb 3 2022,Chicago Bulls,120,Toronto Raptors,127
Thu Feb 3 2022,Sacramento Kings,114,Golden State Warriors,126
Thu Feb 3 2022,Los Angeles Lakers,110,Los Angeles Clippers,111
Fri Feb 4 2022,Cleveland Cavaliers,102,Charlotte Hornets,101
Fri Feb 4 2022,Boston Celtics,102,Detroit Pistons,93
Fri Feb 4 2022,Chicago Bulls,122,Indiana Pacers,115
Fri Feb 4 2022,Atlanta Hawks,114,Toronto Raptors,125
Fri Feb 4 2022,Houston Rockets,106,San Antonio Spurs,131
Fri Feb 4 2022,New Orleans Pelicans,113,Denver Nuggets,105
Fri Feb 4 2022,Brooklyn Nets,102,Utah Jazz,125
Fri Feb 4 2022,Philadelphia 76ers,98,Dallas Mavericks,107
Fri Feb 4 2022,Oklahoma City Thunder,96,Portland Trail Blazers,93
Sat Feb 5 2022,Memphis Grizzlies,135,Orlando Magic,115
Sat Feb 5 2022,Miami Heat,104,Charlotte Hornets,86
Sat Feb 5 2022,Phoenix Suns,95,Washington Wizards,80
Sat Feb 5 2022,New York Knicks,115,Los Angeles Lakers,122
Sat Feb 5 2022,Milwaukee Bucks,137,Portland Trail Blazers,108
Sat Feb 5 2022,Oklahoma City Thunder,103,Sacramento Kings,113
Sun Feb 6 2022,Philadelphia 76ers,119,Chicago Bulls,108
Sun Feb 6 2022,Brooklyn Nets,104,Denver Nuggets,124
Sun Feb 6 2022,Detroit Pistons,105,Minnesota Timberwolves,118
Sun Feb 6 2022,Indiana Pacers,85,Cleveland Cavaliers,98
Sun Feb 6 2022,Atlanta Hawks,94,Dallas Mavericks,103
Sun Feb 6 2022,Boston Celtics,116,Orlando Magic,83
Sun Feb 6 2022,New Orleans Pelicans,120,Houston Rockets,107
Sun Feb 6 2022,Milwaukee Bucks,137,Los Angeles Clippers,113
Mon Feb 7 2022,Toronto Raptors,116,Charlotte Hornets,101
Mon Feb 7 2022,Miami Heat,121,Washington Wizards,100
Mon Feb 7 2022,Phoenix Suns,127,Chicago Bulls,124
Mon Feb 7 2022,Golden State Warriors,110,Oklahoma City Thunder,98
Mon Feb 7 2022,New York Knicks,104,Utah Jazz,113
Tue Feb 8 2022,Phoenix Suns,114,Philadelphia 76ers,109
Tue Feb 8 2022,Indiana Pacers,112,Atlanta Hawks,133
Tue Feb 8 2022,Boston Celtics,126,Brooklyn Nets,91
Tue Feb 8 2022,Los Angeles Clippers,109,Memphis Grizzlies,135
Tue Feb 8 2022,Houston Rockets,97,New Orleans Pelicans,110
Tue Feb 8 2022,Detroit Pistons,86,Dallas Mavericks,116
Tue Feb 8 2022,New York Knicks,115,Denver Nuggets,132
Tue Feb 8 2022,Milwaukee Bucks,131,Los Angeles Lakers,116
Tue Feb 8 2022,Orlando Magic,113,Portland Trail Blazers,95
Tue Feb 8 2022,Minnesota Timberwolves,134,Sacramento Kings,114
Wed Feb 9 2022,San Antonio Spurs,92,Cleveland Cavaliers,105
Wed Feb 9 2022,Chicago Bulls,121,Charlotte Hornets,109
Wed Feb 9 2022,Toronto Raptors,117,Oklahoma City Thunder,98
Wed Feb 9 2022,Los Angeles Lakers,105,Portland Trail Blazers,107
Wed Feb 9 2022,Minnesota Timberwolves,119,Sacramento Kings,132
Wed Feb 9 2022,Golden State Warriors,85,Utah Jazz,111
Thu Feb 10 2022,Memphis Grizzlies,132,Detroit Pistons,107
Thu Feb 10 2022,Miami Heat,112,New Orleans Pelicans,97
Thu Feb 10 2022,Brooklyn Nets,112,Washington Wizards,113
Thu Feb 10 2022,Toronto Raptors,139,Houston Rockets,120
Thu Feb 10 2022,Los Angeles Clippers,105,Dallas Mavericks,112
Thu Feb 10 2022,New York Knicks,116,Golden State Warriors,114
Thu Feb 10 2022,Milwaukee Bucks,107,Phoenix Suns,131
Fri Feb 11 2022,Charlotte Hornets,141,Detroit Pistons,119
Fri Feb 11 2022,Cleveland Cavaliers,120,Indiana Pacers,113
Fri Feb 11 2022,Oklahoma City Thunder,87,Philadelphia 76ers,100
Fri Feb 11 2022,San Antonio Spurs,136,Atlanta Hawks,121
Fri Feb 11 2022,Denver Nuggets,102,Boston Celtics,108
Fri Feb 11 2022,Minnesota Timberwolves,122,Chicago Bulls,134
Fri Feb 11 2022,Orlando Magic,99,Utah Jazz,114
Sat Feb 12 2022,New York Knicks,103,Portland Trail Blazers,112
Sat Feb 12 2022,Memphis Grizzlies,125,Charlotte Hornets,118
Sat Feb 12 2022,San Antonio Spurs,124,New Orleans Pelicans,114
Sat Feb 12 2022,Sacramento Kings,123,Washington Wizards,110
Sat Feb 12 2022,Cleveland Cavaliers,93,Philadelphia 76ers,103
Sat Feb 12 2022,Denver Nuggets,110,Toronto Raptors,109
Sat Feb 12 2022,Oklahoma City Thunder,101,Chicago Bulls,106
Sat Feb 12 2022,Brooklyn Nets,111,Miami Heat,115
Sat Feb 12 2022,Los Angeles Clippers,99,Dallas Mavericks,97
Sat Feb 12 2022,Los Angeles Lakers,115,Golden State Warriors,117
Sat Feb 12 2022,Orlando Magic,105,Phoenix Suns,132
Sun Feb 13 2022,Atlanta Hawks,95,Boston Celtics,105
Sun Feb 13 2022,Minnesota Timberwolves,129,Indiana Pacers,120
Mon Feb 14 2022,Detroit Pistons,94,Washington Wizards,103
Mon Feb 14 2022,Sacramento Kings,85,Brooklyn Nets,109
Mon Feb 14 2022,Oklahoma City Thunder,127,New York Knicks,123
Mon Feb 14 2022,San Antonio Spurs,109,Chicago Bulls,120
Mon Feb 14 2022,Portland Trail Blazers,122,Milwaukee Bucks,107
Mon Feb 14 2022,Toronto Raptors,90,New Orleans Pelicans,120
Mon Feb 14 2022,Orlando Magic,111,Denver Nuggets,121
Mon Feb 14 2022,Houston Rockets,101,Utah Jazz,135
Mon Feb 14 2022,Golden State Warriors,104,Los Angeles Clippers,119
Tue Feb 15 2022,Cleveland Cavaliers,116,Atlanta Hawks,124
Tue Feb 15 2022,Dallas Mavericks,107,Miami Heat,99
Tue Feb 15 2022,Boston Celtics,135,Philadelphia 76ers,87
Tue Feb 15 2022,Indiana Pacers,119,Milwaukee Bucks,128
Tue Feb 15 2022,Charlotte Hornets,120,Minnesota Timberwolves,126
Tue Feb 15 2022,Memphis Grizzlies,121,New Orleans Pelicans,109
Tue Feb 15 2022,Los Angeles Clippers,96,Phoenix Suns,103
Wed Feb 16 2022,Atlanta Hawks,130,Orlando Magic,109
Wed Feb 16 2022,Detroit Pistons,112,Boston Celtics,111
Wed Feb 16 2022,Washington Wizards,108,Indiana Pacers,113
Wed Feb 16 2022,Brooklyn Nets,111,New York Knicks,106
Wed Feb 16 2022,Sacramento Kings,118,Chicago Bulls,125
Wed Feb 16 2022,Portland Trail Blazers,123,Memphis Grizzlies,119
Wed Feb 16 2022,Toronto Raptors,103,Minnesota Timberwolves,91
Wed Feb 16 2022,San Antonio Spurs,114,Oklahoma City Thunder,106
Wed Feb 16 2022,Houston Rockets,121,Phoenix Suns,124
Wed Feb 16 2022,Denver Nuggets,117,Golden State Warriors,116
Wed Feb 16 2022,Utah Jazz,101,Los Angeles Lakers,106
Thu Feb 17 2022,Miami Heat,111,Charlotte Hornets,107
Thu Feb 17 2022,Washington Wizards,117,Brooklyn Nets,103
Thu Feb 17 2022,Dallas Mavericks,125,New Orleans Pelicans,118
Thu Feb 17 2022,Philadelphia 76ers,123,Milwaukee Bucks,120
Thu Feb 17 2022,Houston Rockets,111,Los Angeles Clippers,142
