Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Charlotte Hornets,62,243.2,42.3,92.3,.459,13.7,38.3,.357,28.6,54.0,.531,15.8,21.5,.735,11.1,34.2,45.3,27.2,8.7,4.9,13.5,20.0,114.2
Memphis Grizzlies,62,241.2,42.9,93.6,.458,11.0,32.4,.340,31.9,61.3,.520,17.1,23.3,.735,14.1,35.1,49.2,25.3,10.0,6.4,13.4,19.6,113.8
Utah Jazz,60,240.0,40.7,86.0,.474,14.6,40.2,.363,26.1,45.8,.571,17.8,22.7,.781,10.3,35.7,46.0,22.3,7.2,4.9,14.2,18.8,113.8
Phoenix Suns,61,240.4,43.1,89.5,.482,11.3,31.5,.361,31.8,58.0,.548,16.0,20.2,.793,10.0,35.9,45.8,27.0,8.6,4.3,13.0,19.2,113.6
Milwaukee Bucks,61,240.8,41.0,88.9,.461,14.2,39.2,.362,26.8,49.7,.540,17.1,22.2,.772,10.1,36.3,46.4,23.4,7.6,4.0,13.6,18.2,113.3
Minnesota Timberwolves,61,241.6,40.9,91.6,.447,14.4,41.5,.346,26.6,50.1,.530,16.9,22.1,.763,11.9,32.9,44.7,25.1,8.5,5.9,14.5,21.8,113.1
San Antonio Spurs,61,242.0,43.8,93.3,.469,11.1,31.4,.355,32.6,61.9,.526,14.2,19.0,.745,11.1,34.3,45.4,28.2,7.6,5.0,12.8,18.1,112.8
Chicago Bulls,61,240.4,42.0,87.1,.482,11.1,29.6,.376,30.9,57.5,.537,17.4,21.4,.815,8.8,34.5,43.3,24.2,7.1,4.5,12.9,18.6,112.6
Atlanta Hawks,60,240.0,41.2,87.9,.468,12.6,33.4,.377,28.6,54.5,.525,17.5,21.8,.804,9.9,34.5,44.4,24.4,6.9,4.4,12.3,18.5,112.4
Brooklyn Nets,61,240.8,41.4,88.8,.466,11.1,31.9,.349,30.2,56.9,.532,17.0,21.2,.803,10.3,34.4,44.6,24.8,7.0,5.3,13.7,19.9,111.0
Golden State Warriors,61,240.8,40.3,86.5,.466,14.5,40.1,.360,25.9,46.4,.558,15.7,20.5,.763,9.8,36.0,45.8,27.3,9.4,4.8,15.1,20.4,110.8
Denver Nuggets,61,240.8,41.0,86.5,.475,13.0,36.6,.356,28.0,49.9,.562,15.4,19.5,.790,9.0,35.1,44.1,27.2,7.2,3.7,14.4,19.4,110.5
Los Angeles Lakers,60,243.8,41.3,88.9,.464,11.9,34.3,.345,29.4,54.5,.540,16.1,22.3,.724,9.6,35.1,44.7,24.0,8.0,5.7,14.8,20.0,110.5
Sacramento Kings,62,241.2,40.6,88.8,.457,11.5,33.6,.344,29.0,55.2,.525,17.2,22.5,.766,10.1,33.5,43.5,23.4,7.1,4.6,14.2,19.2,109.9
Indiana Pacers,62,242.8,41.0,89.2,.459,11.9,35.2,.338,29.1,54.1,.538,16.0,21.1,.759,11.1,33.6,44.7,24.6,7.0,5.6,14.3,20.4,109.9
Miami Heat,61,242.9,39.5,85.5,.462,13.3,35.7,.373,26.2,49.9,.525,17.1,21.2,.807,10.6,34.0,44.6,25.7,7.6,3.3,14.8,20.7,109.4
Boston Celtics,63,243.2,39.8,87.5,.455,12.6,36.6,.344,27.2,50.9,.534,17.1,21.0,.814,10.7,35.7,46.4,23.8,7.2,6.0,14.0,18.6,109.2
Houston Rockets,60,240.4,38.7,86.0,.450,13.3,38.8,.344,25.4,47.2,.537,17.6,24.8,.711,9.7,32.5,42.2,23.1,7.3,4.5,16.8,20.3,108.4
Toronto Raptors,59,242.1,40.2,90.9,.442,12.2,34.6,.353,28.0,56.4,.497,15.7,20.8,.754,13.1,31.6,44.6,21.9,9.1,4.7,12.8,19.8,108.3
Philadelphia 76ers,60,241.7,39.4,85.0,.463,11.0,30.9,.357,28.4,54.1,.525,18.5,22.7,.816,8.5,33.9,42.3,23.2,7.7,5.5,12.4,19.4,108.2
Portland Trail Blazers,61,240.4,38.9,87.0,.447,13.3,37.9,.351,25.5,49.1,.520,16.6,21.8,.762,10.2,33.6,43.9,22.8,7.6,4.6,13.9,20.2,107.7
Washington Wizards,60,242.5,40.2,86.3,.465,10.3,30.9,.332,29.9,55.4,.540,16.9,21.6,.781,9.2,34.5,43.7,24.1,6.4,4.9,13.4,19.0,107.5
New Orleans Pelicans,61,240.8,39.1,87.2,.448,10.7,32.6,.329,28.4,54.6,.519,17.9,22.6,.791,11.5,33.7,45.2,24.7,7.7,4.2,14.4,19.7,106.8
Los Angeles Clippers,63,240.8,39.7,87.2,.455,12.3,34.1,.362,27.3,53.1,.515,15.0,19.3,.779,8.9,35.2,44.2,23.5,7.5,4.7,14.3,18.7,106.7
Dallas Mavericks,61,241.2,39.1,85.8,.456,12.8,37.0,.345,26.4,48.9,.540,15.7,20.5,.768,9.4,34.0,43.4,23.5,7.0,4.1,12.6,19.8,106.7
Cleveland Cavaliers,60,240.0,39.4,84.8,.465,11.7,33.1,.352,27.7,51.6,.537,15.9,21.1,.754,10.3,34.6,44.9,25.1,7.2,4.4,14.8,16.9,106.4
New York Knicks,61,241.6,37.4,86.3,.434,13.0,37.0,.352,24.4,49.2,.495,17.1,22.9,.748,11.4,34.7,46.1,21.5,6.9,4.9,13.7,20.1,105.0
Orlando Magic,61,240.4,38.0,87.6,.434,12.0,36.2,.330,26.1,51.4,.507,15.6,19.8,.787,9.1,34.5,43.6,23.2,6.9,4.7,14.7,19.7,103.6
Detroit Pistons,61,241.2,37.5,88.9,.422,11.0,34.5,.320,26.4,54.3,.487,17.0,21.8,.779,11.1,32.0,43.1,22.7,7.7,4.8,14.5,21.7,103.0
Oklahoma City Thunder,60,241.7,37.7,89.7,.420,11.7,37.3,.312,26.0,52.4,.497,14.7,19.3,.763,10.5,35.6,46.2,21.5,7.6,4.6,13.5,18.2,101.7
League Average,61,241.4,40.3,88.2,.457,12.3,35.2,.349,28.0,52.9,.528,16.5,21.4,.772,10.4,34.4,44.7,24.3,7.6,4.8,13.9,19.5,109.4